"Name","Unmodelled (BCE/CE)",,,
,"median","from_95_4","to_95_4",
"GLZ001_adj",-2606,"-2845","-2494",
"GLZ002_adj",-2480,"-2570","-2350",
"RV2039",-3869,"-3956","-3715",
"Gok2",-2975,"-3086","-2907",
"CHC004",-2013,"-2137","-1926",
"ARK017",-1841,"-1935","-1772",
"ARS007",-1223,"-1389","-1054",
"KZL002",-635,"-776","-481",
"VEL003",-2465,"-2569","-2345",
"GRH001",-855,"-901","-811",
"I2740",-1328,"-1412","-1227",
"OOH003",-1551,"-1622","-1461",
"KLE048",-1708,"-1870","-1623",
"MIB054",-1897,"-1952","-1776",
"KLE031",-1891,"-2016","-1767",
"KLZ001",-2228,"-2297","-2139",
"HOP004",-2265,"-2451","-2147",
"HOP001",-2287,"-2452","-2201",
"GRS004",-2632,"-2848","-2572",
"KNK001",-2754,"-2878","-2631",
"VLI092",-2770,"-2885","-2636",
"I5884",-2786,"-2889","-2680",
"Gyvakarai1",-2533,"-2625","-2469",
"KunilaII",-2473,"-2575","-2307",
"GEN72",-2769,"-2885","-2635",
"RK1001",-2767,"-2881","-2639",
"1343UnTal85",-2252,"-2401","-2146",
"6Post",-2083,"-2189","-1976",
"RISE509",-2777,"-2889","-2668",
"RISE505",-1676,"-1862","-1612",
"I2470",-1328,"-1412","-1227",
"RT6",-1817,"-1893","-1744",
"GLZ001",-2915,"-3011","-2890",
"GLZ002",-2973,"-3079","-2911",
"HGC009",-1981,"-2112","-1898",
"DSH008",-1996,"-2128","-1931",
"RV2039_adj",-2967,"-3082","-2897",
"DSH025",-1943,"-2026","-1884",
"RT5",-1829,"-1924","-1750",
"C10098",-2080,"-2196","-1961",
