Sample_Name	Latitude	Longitude	median_bce_date_calibrated
ARK017	52.649261	59.571443	-1841
HGC009	35.1772505	25.4410963	-1981
C10098	51.299	-2.715	-2080
DSH008	48.758	16.651	-1996
DSH025	48.758	16.651	-1943
MIB054	49.99	15.77	-1897
HOP004	50.08	14.28	-2265
KLE048	48.21	10.84	-1708
HOP001	50.08	14.28	-2287
VLI092	50.37	14.44	-2770
KZL002	48.27	75.35	-635
GRS004	51.18	12.26	-2632
KLE031	48.21	10.84	-1891
CHC004	50.79	17.09	-2013
KLZ001	44.84	42.21	-2228
KNK001	45.82	41.58	-2754
ARS007	49.65	99.72	-1223
OOH003	48.23	10.86	-1551
RK1001	45.56	41.03	-2767
GEN72	45.34	18.7	-2769
Gyvakarai1	55.91	24.89	-2158
KunilaII	58.61	23.79	-2473
1343UnTal85	48.37	10.89	-2252
6Post	48.37	10.89	-2083
GLZ001	52.27	104.25	-2606
GLZ002	52.27	104.25	-2480
RISE505	53.45	85.44	-1676
RISE509	54.58	90.77	-2777
VEL003	49.17	16.84	-2465
GRH001	45.06	41.99	-855
I5884	48.91	33.76	-2786
